Percent-of-Population-Under-15-(2013-2017),Percent-of-Population-Aged-15-to-64-(2013-2017),Percent-of-Population-65+-(2013-2017),Percent-of-Population-White-(non-Hispanic)-(2013-2017),Percent-of-Populaiton-Black-(non-Hispanic)-(2013-2017),Percent-of-Population-Hispanic-or-Latino-(2013-2017),Percent-of-Population-Asian-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2013-2017),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2013-2017),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2013-2017),Poverty-Rate-(2013-2017),Median-Household-Income-(2013-2017),Unemployment-Rate-(2013-2017),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2013-2017),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2013-2017),Percent-of-Popualtion-Employed-in-Construction-(2013-2017),Percent-of-Popualtion-Employed-in-Trade-Transportation-and-Utilities-(2013-2017),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2013-2016,goodsam-law,goodsam-cs_Arrest,goodsam-cs_Charge,goodsam-cs_Prosecution,goodsam-cs_Law provides an affirmative defense,goodsam-cs_None,goodsam-paraphernalia_Arrest,goodsam-paraphernalia_Charge,goodsam-paraphernalia_Prosecution,goodsam-paraphernalia_Law provides an affirmative defense,goodsam-paraphernalia_None,goodsam-paroleyn,goodsam-parole_Protection from arrest,goodsam-parole_Protection from charge,goodsam-parole_Protection from prosecution,goodsam-parole_Protection from revocation of probation and/or parole,goodsam-parole_General protection from sanctions for violation of probation and/or parole,goodsam-mitigation,goodsam-mit-type_Controlled substances offenses,goodsam-mit-type_Alcohol-related offenses,goodsam-mit-type_Other offenses beyond controlled substances and alcohol-related violations
0.1986,0.6559,0.1454,0.5785,0.352,0.0264,0.0194,0.0061,0.0001,0.8578,0.2251,0.1947,44263.0,0.087,0.1369,0.0064,0.0584,0.2121,11.0,2.0,8.93,Urban,3.0,3.0,3.0,4.0,3.0,18.10321730377923,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1945,0.673,0.1326,0.3594,0.5669,0.0331,0.0223,0.0013,0.0001,0.8551,0.3146,0.2131,45358.0,0.0845,0.1487,0.001,0.0317,0.1681,4.0,2.0,6.6,Urban,2.0,3.0,3.0,4.0,3.0,4.837461300309598,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1909,0.6516,0.1575,0.7662,0.1205,0.0781,0.0067,0.0053,0.0,0.8249,0.2143,0.1631,46883.0,0.0893,0.1423,0.0028,0.0633,0.181,3.0,3.0,10.04,Urban,4.0,3.0,3.0,4.0,4.0,7.527916022,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1705,0.6502,0.1792,0.5485,0.4177,0.0242,0.0006,0.0012,0.0004,0.811,0.1112,0.2393,31679.0,0.1232,0.2357,0.0634,0.0169,0.1345,0.0,0.0,4.99,Urban,5.0,4.0,5.0,4.0,5.0,24.947610018960184,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.212,0.6619,0.126,0.4872,0.4202,0.0507,0.0068,0.0037,0.0022,0.8256,0.1701,0.2154,38400.0,0.0943,0.1604,0.0076,0.0447,0.1904,2.0,0.0,1.71,Urban,5.0,4.0,4.0,5.0,5.0,15.348932396479976,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1908,0.6567,0.1525,0.863,0.0935,0.0227,0.008,0.0028,0.0,0.8348,0.161,0.137,54042.0,0.064,0.152,0.0036,0.0612,0.2411,1.0,1.0,6.93,Urban,4.0,2.0,3.0,4.0,3.0,48.51228978007762,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2008,0.6695,0.1297,0.789,0.1156,0.0576,0.0198,0.0019,0.0003,0.9157,0.4142,0.0849,72310.0,0.0462,0.0947,0.0067,0.0611,0.2282,3.0,2.0,9.23,Urban,2.0,1.0,1.0,2.0,1.0,37.87308631664813,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1755,0.7073,0.1172,0.6298,0.3096,0.0329,0.015,0.0013,0.0001,0.8814,0.2937,0.1796,48022.0,0.0699,0.1043,0.0227,0.0438,0.1651,4.0,3.0,5.93,Urban,4.0,2.0,2.0,3.0,3.0,12.347447288747524,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1822,0.6365,0.1813,0.8956,0.0566,0.0226,0.0046,0.0005,0.0,0.7855,0.1054,0.2193,37025.0,0.1099,0.2382,0.032,0.0289,0.2384,5.0,1.0,15.25,Urban,4.0,3.0,5.0,4.0,4.0,32.01561142195051,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2099,0.7006,0.0895,0.5984,0.0531,0.0872,0.088,0.0671,0.0223,0.9329,0.343,0.081,80862.0,0.0605,0.0966,0.019,0.048,0.2227,22.0,18.0,27.73,Urban,1.0,2.0,1.0,2.0,1.0,51.44978133842931,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
