percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health ,population
0.1943,0.5668,0.2389,0.2914,0.6232,0.0505,0,0,0,0.8234,0.0744,0.3981,22120,0.1894,0.2069,0,0,0.1243,0,0,0,0,4,3,4,5,4,2.091566760052153,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,686
0.2031,0.6279,0.169,0.8759,0.0678,0.0154,0,0.0049,0,0.7858,0.0822,0.1519,43884,0.0685,0.1266,0,0,0.0657,0,0,0,0,4,3,4,5,4,1.692456125049489,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,640
0.1346,0.6105,0.2549,0.4821,0.4893,0.01,0.0057,0.0048,0.0024,0.7692,0.0856,0.2568,29773,0.1853,0.2379,0,0,0.3186,0,0,0,0,5,3,5,5,5,-3.268490586,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,526
0.1234,0.6534,0.2232,0.3151,0.636,0.0425,0.0042,0,0,0.6722,0.0877,0.3138,28152,0.1165,0.2278,0.0595,0,0.0216,0,0,0,0,5,2,5,5,5,63.53240152477764,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,429
0.1961,0.6287,0.1751,0.4936,0.4951,0.0112,0,0,0,0.7794,0.0942,0.2241,37072,0.052,0.1673,0.0391,0,0.2416,0,0,0,0,4,5,4,4,5,4.733366320236087,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,496
0.1498,0.6031,0.2471,0.9307,0.0021,0.0316,0,0.0189,0.0021,0.8971,0.2268,0.1463,41335,0.1078,0.155,0.0547,0.0412,0.1636,0,0,25.87,0,3,2,4,2,3,-2.730430195,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,674
0.1717,0.6254,0.2029,0.9452,0.012,0.039,0,0.0015,0,0.9036,0.149,0.1554,39653,0.0676,0.1383,0.0044,0.0043,0.0162,0,0,38.58,1,3,4,4,1,3,0.2848910564197524,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,582
0.2159,0.6126,0.1715,0.9101,0,0.0847,0,0.0031,0,0.8787,0.2053,0.1983,42708,0.0435,0.1236,0.08,0.0317,0.3458,0,0,0,0,2,3,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,158
0.2844,0.601,0.1146,0.5167,0.001,0.4729,0,0,0,0.6954,0.1523,0.2708,32422,0.0471,0.1269,0.1765,0,0.1545,0,0,0,0,5,3,2,4,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,269
0.1498,0.6036,0.2466,0.9575,0,0.0315,0.0002,0.0041,0,0.9265,0.2617,0.2058,39497,0.0356,0.1652,0.1298,0.0318,0.1551,2,1,0,0,2,3,2,1,2,-0.492101079,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,655
0.1864,0.5729,0.2407,0.8649,0.0008,0.0418,0.0073,0.0489,0.0003,0.8945,0.1601,0.1592,38068,0.063,0.16,0.0866,0.0298,0.1948,1,0,0,0,3,3,5,3,3,1.5408723999948464,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,691
