FIPS,Percent-of-Population-Under-15-(2013-2017),Percent-of-Population-Aged-15-to-64-(2013-2017),Percent-of-Population-65+-(2013-2017),Percent-of-Population-White-(non-Hispanic)-(2013-2017),Percent-of-Populaiton-Black-(non-Hispanic)-(2013-2017),Percent-of-Population-Hispanic-or-Latino-(2013-2017),Percent-of-Population-Asian-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2013-2017),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2013-2017),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2013-2017),Poverty-Rate-(2013-2017),Median-Household-Income-(2013-2017),Unemployment-Rate-(2013-2017),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2013-2017),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2013-2017),Percent-of-Popualtion-Employed-in-Construction-(2013-2017),Percent-of-Popualtion-Employed-in-Trade-Transportation-and-Utilities-(2013-2017),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,delta_death_rate,goodsam-law,goodsam-cs_Arrest,goodsam-cs_Charge,goodsam-cs_Prosecution,goodsam-cs_Law provides an affirmative defense,goodsam-cs_None,goodsam-paraphernalia_Arrest,goodsam-paraphernalia_Charge,goodsam-paraphernalia_Prosecution,goodsam-paraphernalia_Law provides an affirmative defense,goodsam-paraphernalia_None,goodsam-paroleyn,goodsam-parole_Protection from arrest,goodsam-parole_Protection from charge,goodsam-parole_Protection from prosecution,goodsam-parole_Protection from revocation of probation and/or parole,goodsam-parole_General protection from sanctions for violation of probation and/or parole,goodsam-mitigation,goodsam-mit-type_Controlled substances offenses,goodsam-mit-type_Alcohol-related offenses,goodsam-mit-type_Other offenses beyond controlled substances and alcohol-related violations
19139,0.2043,0.6188,0.1768,0.9342,0.0049,0.0403,0.0057,0.0017,0.0023,0.9205,0.1953,0.0862,60339.0,0.0355,0.0762,0.0316,0.0384,0.2431,2.0,1.0,16.02,1,3.0,2.0,2.0,2.0,2.0,24.02691013935608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19141,0.182,0.5935,0.2245,0.9391,0.0127,0.035,0.0023,0.0008,0.0,0.9315,0.169,0.1283,46250.0,0.0475,0.1099,0.0681,0.0851,0.2768,0.0,0.0,0.0,0,3.0,2.0,3.0,3.0,3.0,28.32459992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19143,0.2136,0.6692,0.1172,0.7906,0.0622,0.0799,0.0409,0.0018,0.0008,0.9172,0.3557,0.1243,61684.0,0.0518,0.0994,0.0012,0.0522,0.1915,18.0,11.0,5.01,1,1.0,1.0,1.0,3.0,1.0,35.93526425486596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19145,0.1976,0.6455,0.1569,0.887,0.0141,0.0724,0.0067,0.0028,0.0001,0.9001,0.2066,0.1176,53260.0,0.0489,0.1328,0.0108,0.0578,0.2366,4.0,5.0,3.22,1,3.0,2.0,2.0,4.0,3.0,21.459687976136827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19147,0.1625,0.6449,0.1925,0.922,0.0168,0.0304,0.02,0.0001,0.0003,0.9343,0.2287,0.1001,50725.0,0.043,0.0901,0.0445,0.0624,0.1668,0.0,0.0,0.0,0,3.0,2.0,2.0,3.0,2.0,26.849962410052623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19149,0.1981,0.5528,0.2491,0.9616,0.0022,0.0214,0.0042,0.004,0.0,0.9078,0.1935,0.1099,46927.0,0.0527,0.1305,0.0815,0.0552,0.2582,0.0,0.0,0.0,0,2.0,1.0,3.0,2.0,2.0,19.78630787495053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19151,0.1808,0.5945,0.2247,0.9568,0.005,0.026,0.0,0.0,0.0004,0.9168,0.1934,0.1016,49570.0,0.0387,0.0873,0.048,0.0363,0.2294,1.0,0.0,0.0,0,3.0,2.0,2.0,3.0,2.0,29.898345624875425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19153,0.201,0.6548,0.1441,0.8102,0.0767,0.0628,0.024,0.0026,0.0,0.9298,0.3192,0.1216,56454.0,0.0489,0.0872,0.0022,0.0584,0.2144,7.0,3.0,3.51,1,2.0,2.0,2.0,3.0,2.0,42.66111877322986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19155,0.1828,0.594,0.2232,0.9506,0.0041,0.0291,0.0031,0.0008,0.0,0.9129,0.2109,0.1003,52757.0,0.0335,0.1062,0.0183,0.0357,0.3298,1.0,1.0,0.0,0,3.0,1.0,2.0,2.0,2.0,25.117213663764232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19157,0.2275,0.6277,0.1448,0.8799,0.0042,0.0985,0.0071,0.0019,0.0001,0.8995,0.2688,0.0759,63466.0,0.0176,0.0582,0.0712,0.0636,0.1665,1.0,1.0,0.0,0,2.0,2.0,1.0,1.0,1.0,25.99578290632853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19159,0.1433,0.7492,0.1075,0.8503,0.0212,0.0315,0.0687,0.0022,0.0002,0.9635,0.5025,0.2235,51201.0,0.052,0.0513,0.0168,0.0476,0.1549,6.0,2.0,2.11,1,2.0,3.0,1.0,4.0,2.0,14.762637872492988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19161,0.1976,0.609,0.1934,0.8285,0.0051,0.0822,0.0034,0.0663,0.0003,0.9059,0.1631,0.1297,53833.0,0.0573,0.0966,0.034,0.0342,0.1753,1.0,0.0,5.74,0,4.0,2.0,3.0,4.0,3.0,22.95815876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19163,0.1938,0.598,0.2082,0.9092,0.0019,0.0741,0.0071,0.0008,0.0,0.9094,0.1362,0.132,46510.0,0.0328,0.1164,0.0578,0.0394,0.1849,0.0,0.0,0.0,0,3.0,2.0,3.0,4.0,3.0,32.21130616846513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19165,0.1902,0.6199,0.1899,0.9475,0.0099,0.027,0.0065,0.0025,0.0,0.9192,0.164,0.1294,45934.0,0.0411,0.134,0.0205,0.0259,0.2003,1.0,1.0,0.0,0,2.0,3.0,2.0,3.0,3.0,23.92535289895526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19167,0.1908,0.6033,0.206,0.9692,0.0037,0.0133,0.0004,0.0009,0.0,0.8832,0.1273,0.1452,46769.0,0.0366,0.0987,0.0437,0.0178,0.1823,1.0,0.0,0.0,0,3.0,4.0,4.0,3.0,4.0,27.100271002710027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19169,0.1873,0.6459,0.1668,0.8463,0.0233,0.1024,0.0092,0.0019,0.0025,0.8629,0.1762,0.1754,42494.0,0.0699,0.1255,0.0023,0.0392,0.209,5.0,1.0,5.68,0,3.0,4.0,3.0,4.0,3.0,25.53771068611316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
